age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income,age_x_age,age_x_fnlwgt,age_x_education_num,age_x_capital_gain,age_x_capital_loss,age_x_hours_per_week,fnlwgt_x_fnlwgt,fnlwgt_x_education_num,fnlwgt_x_capital_gain,fnlwgt_x_capital_loss,fnlwgt_x_hours_per_week,education_num_x_education_num,education_num_x_capital_gain,education_num_x_capital_loss,education_num_x_hours_per_week,capital_gain_x_capital_gain,capital_gain_x_capital_loss,capital_gain_x_hours_per_week,capital_loss_x_capital_loss,capital_loss_x_hours_per_week,hours_per_week_x_hours_per_week,marital_status_statistics,male,female
61,Local-gov,144723,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,60,United-States,>50K,3721,8828103,854,445178,0,3660,-530089751,2026122,1056188454,0,8683380,196,102172,0,840,53260804,0,437880,0,0,3600,,,
56,Private,187487,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,>50K,3136,10499272,504,0,0,2688,791636801,1687383,0,0,8999376,81,0,0,432,0,0,0,0,0,2304,,,
40,Private,255675,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,1600,10227000,400,0,0,1600,945196185,2556750,0,0,10227000,100,0,0,400,0,0,0,0,0,1600,,,
37,Private,119098,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,1369,4406626,481,0,0,1850,1299431716,1548274,0,0,5954900,169,0,0,650,0,0,0,0,0,2500,,,
42,Private,385591,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,1764,16194822,378,0,0,2100,-1643436079,3470319,0,0,19279550,81,0,0,450,0,0,0,0,0,2500,,,
60,?,112821,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,35,United-States,>50K,3600,6769260,600,0,0,2100,-156323847,1128210,0,0,3948735,100,0,0,350,0,0,0,0,0,1225,,,
61,Private,147280,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,3721,8984080,854,0,0,3660,216561920,2061920,0,0,8836800,196,0,0,840,0,0,0,0,0,3600,,,
56,Private,181220,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,3136,10148320,728,0,0,2240,-1519049968,2355860,0,0,7248800,169,0,0,520,0,0,0,0,0,1600,,,
62,Private,135480,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,16,United-States,<=50K,3844,8399760,558,0,0,992,1174961216,1219320,0,0,2167680,81,0,0,144,0,0,0,0,0,256,,,
24,Private,68577,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,576,1645848,264,0,0,960,407837633,754347,0,0,2743080,121,0,0,440,0,0,0,0,0,1600,,,
28,Private,190060,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,>50K,784,5321680,252,0,0,1120,1763065232,1710540,0,0,7602400,81,0,0,360,0,0,0,0,0,1600,,,
36,Private,132879,1st-4th,2,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,Italy,<=50K,1296,4783644,72,0,0,1440,476959457,265758,0,0,5315160,4,0,0,80,0,0,0,0,0,1600,,,
39,Self-emp-not-inc,52187,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,1521,2035293,351,0,0,1560,-1571484327,469683,0,0,2087480,81,0,0,360,0,0,0,0,0,1600,,,
50,Private,34233,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,50,United-States,<=50K,2500,1711650,450,0,0,2500,1171898289,308097,0,0,1711650,81,0,0,450,0,0,0,0,0,2500,,,
34,Self-emp-inc,186824,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,15024,0,40,United-States,>50K,1156,6352016,510,510816,0,1360,543468608,2802360,-1488123520,0,7472960,225,225360,0,600,225720576,0,600960,0,0,1600,,,
38,Private,348739,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,1444,13252082,570,0,0,2280,1359805833,5231085,0,0,20924340,225,0,0,900,0,0,0,0,0,3600,,,
46,Private,113806,12th,8,Married-civ-spouse,Craft-repair,Husband,White,Male,7298,0,40,?,>50K,2116,5235076,368,335708,0,1840,66903748,910448,830556188,0,4552240,64,58384,0,320,53260804,0,291920,0,0,1600,,,
48,Self-emp-inc,36020,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,2304,1728960,624,0,0,2400,1297440400,468260,0,0,1801000,169,0,0,650,0,0,0,0,0,2500,,,
34,Private,345705,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1977,50,United-States,>50K,1156,11753970,442,0,67218,1700,-747137263,4494165,0,683458785,17285250,169,0,25701,650,0,0,0,3908529,98850,2500,,,
36,Local-gov,32587,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,1296,1173132,360,0,0,1440,1061912569,325870,0,0,1303480,100,0,0,400,0,0,0,0,0,1600,,,
33,Local-gov,115488,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,1089,3811104,429,0,0,1650,452576256,1501344,0,0,5774400,169,0,0,650,0,0,0,0,0,2500,,,
57,Private,314153,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,1887,55,United-States,>50K,3249,17906721,741,0,107559,3135,-92140399,4083989,0,592806711,17278415,169,0,24531,715,0,0,0,3560769,103785,3025,,,
35,Private,385847,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,1225,13504645,350,0,0,1400,-1445947951,3858470,0,0,15433880,100,0,0,400,0,0,0,0,0,1600,,,
31,Private,37546,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,1902,35,United-States,>50K,961,1163926,403,0,58962,1085,1409702116,488098,0,71412492,1314110,169,0,24726,455,0,0,0,3617604,66570,1225,,,
61,Private,147845,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,31,United-States,<=50K,3721,9018545,244,0,0,1891,383307545,591380,0,0,4583195,16,0,0,124,0,0,0,0,0,961,,,
59,Self-emp-not-inc,201263,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,15024,0,55,United-States,>50K,3481,11874517,767,886416,0,3245,1852089505,2616419,-1271191984,0,11069465,169,195312,0,715,225720576,0,826320,0,0,3025,,,
40,Self-emp-not-inc,204235,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,99999,0,50,United-States,>50K,1600,8169400,560,3999960,0,2000,-1237737735,2859290,-1051540715,0,10211750,196,1399986,0,700,1409865409,0,4999950,0,0,2500,,,
55,Self-emp-not-inc,158315,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K,3025,8707325,495,0,0,2750,-706164551,1424835,0,0,7915750,81,0,0,450,0,0,0,0,0,2500,,,
43,Private,159549,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,1849,6860607,387,0,0,1720,-313920375,1435941,0,0,6381960,81,0,0,360,0,0,0,0,0,1600,,,
40,Private,163985,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,24,United-States,<=50K,1600,6559400,360,0,0,960,1121276449,1475865,0,0,3935640,81,0,0,216,0,0,0,0,0,576,,,
33,Private,214635,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,50,United-States,<=50K,1089,7082955,297,0,0,1650,-1176457031,1931715,0,0,10731750,81,0,0,450,0,0,0,0,0,2500,,,
34,Private,191930,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0,0,40,United-States,<=50K,1156,6525620,340,0,0,1360,-1817580764,1919300,0,0,7677200,100,0,0,400,0,0,0,0,0,1600,,,
58,Federal-gov,200042,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,15024,0,40,United-States,>50K,3364,11602436,580,871392,0,2320,1362096100,2000420,-1289536288,0,8001680,100,150240,0,400,225720576,0,600960,0,0,1600,,,
30,Private,75167,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K,900,2255010,390,0,0,1650,1355110593,977171,0,0,4134185,169,0,0,715,0,0,0,0,0,3025,,,
50,Private,248619,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,2500,12430950,450,0,0,2000,1681865017,2237571,0,0,9944760,81,0,0,360,0,0,0,0,0,1600,,,
28,Private,243660,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,784,6822480,252,0,0,1120,-759346544,2192940,0,0,9746400,81,0,0,360,0,0,0,0,0,1600,,,
32,Private,192565,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,<=50K,1024,6162080,224,0,0,1760,-1573426439,1347955,0,0,10591075,49,0,0,385,0,0,0,0,0,3025,,,
62,?,113234,Masters,14,Married-civ-spouse,?,Wife,White,Female,0,0,40,United-States,<=50K,3844,7020508,868,0,0,2480,-62963132,1585276,0,0,4529360,196,0,0,560,0,0,0,0,0,1600,,,
26,Self-emp-not-inc,31143,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,<=50K,676,809718,234,0,0,1170,969886449,280287,0,0,1401435,81,0,0,405,0,0,0,0,0,2025,,,
57,Self-emp-not-inc,56480,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,1,United-States,<=50K,3249,3219360,513,0,0,57,-1104976896,508320,0,0,56480,81,0,0,9,0,0,0,0,0,1,,,
41,Private,297186,HS-grad,9,Married-civ-spouse,Transport-moving,Wife,White,Female,0,0,40,United-States,<=50K,1681,12184626,369,0,0,1640,-1874794620,2674674,0,0,11887440,81,0,0,360,0,0,0,0,0,1600,,,
47,Private,345493,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,99999,0,55,Taiwan,>50K,2209,16238171,705,4699953,0,2585,-893671239,5182395,189216139,0,19002115,225,1499985,0,825,1409865409,0,5499945,0,0,3025,,,
67,?,209137,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K,4489,14012179,871,0,0,2680,788611809,2718781,0,0,8365480,169,0,0,520,0,0,0,0,0,1600,,,
61,Self-emp-not-inc,115882,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,20,United-States,<=50K,3721,7068802,122,0,0,1220,543736036,231764,0,0,2317640,4,0,0,40,0,0,0,0,0,400,,,
24,Private,280960,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,0,0,24,United-States,<=50K,576,6743040,216,0,0,576,1629110272,2528640,0,0,6743040,81,0,0,216,0,0,0,0,0,576,,,
41,Private,56795,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,45,England,<=50K,1681,2328595,574,0,0,1845,-1069295271,795130,0,0,2555775,196,0,0,630,0,0,0,0,0,2025,,,
57,Local-gov,215175,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,<=50K,3249,12264975,798,0,0,3420,-944359631,3012450,0,0,12910500,196,0,0,840,0,0,0,0,0,3600,,,
22,Private,164922,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K,484,3628284,198,0,0,880,1429462308,1484298,0,0,6596880,81,0,0,360,0,0,0,0,0,1600,,,
37,Private,89559,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,<=50K,1369,3313683,333,0,0,1480,-569120111,806031,0,0,3582360,81,0,0,360,0,0,0,0,0,1600,,,
61,Private,380462,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,40,United-States,<=50K,3721,23208182,244,0,0,2440,-1277554620,1521848,0,0,15218480,16,0,0,160,0,0,0,0,0,1600,,,
43,Self-emp-inc,83348,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,1849,3583964,387,0,0,2580,-1643045488,750132,0,0,5000880,81,0,0,540,0,0,0,0,0,3600,,,
47,Private,387468,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Scotland,>50K,2209,18210996,470,0,0,1880,-192404336,3874680,0,0,15498720,100,0,0,400,0,0,0,0,0,1600,,,
28,Private,109621,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,784,3069388,336,0,0,1120,-868138247,1315452,0,0,4384840,144,0,0,480,0,0,0,0,0,1600,,,
38,Private,189623,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,40,United-States,>50K,1444,7205674,494,0,71706,1520,1597143761,2465099,0,357818601,7584920,169,0,24531,520,0,0,0,3560769,75480,1600,,,
46,Private,72896,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,43,United-States,<=50K,2116,3353216,230,0,0,1978,1018859520,364480,0,0,3134528,25,0,0,215,0,0,0,0,0,1849,,,
34,Private,199539,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,>50K,1156,6784326,306,0,0,1632,1161106857,1795851,0,0,9577872,81,0,0,432,0,0,0,0,0,2304,,,
49,Private,91251,HS-grad,9,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,0,0,40,China,<=50K,2401,4471299,441,0,0,1960,-263189591,821259,0,0,3650040,81,0,0,360,0,0,0,0,0,1600,,,
35,?,195946,Some-college,10,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,>50K,1225,6858110,350,0,0,1400,-259870748,1959460,0,0,7837840,100,0,0,400,0,0,0,0,0,1600,,,
56,Private,33323,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,3136,1866088,504,0,0,2240,1110422329,299907,0,0,1332920,81,0,0,360,0,0,0,0,0,1600,,,
36,Private,223433,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,7688,0,50,United-States,>50K,1296,8043588,504,276768,0,1800,-1617302063,3128062,1717752904,0,11171650,196,107632,0,700,59105344,0,384400,0,0,2500,,,
42,Self-emp-not-inc,79531,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K,1764,3340302,420,0,0,2310,2030212665,795310,0,0,4374205,100,0,0,550,0,0,0,0,0,3025,,,
60,Self-emp-not-inc,106118,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,>50K,3600,6367080,540,0,0,4200,-1623871964,955062,0,0,7428260,81,0,0,630,0,0,0,0,0,4900,,,
51,Private,163948,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,2601,8361348,561,0,0,2040,1109142928,1803428,0,0,6557920,121,0,0,440,0,0,0,0,0,1600,,,
40,Private,202565,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,52,United-States,<=50K,1600,8102600,480,0,0,2080,-1917093735,2430780,0,0,10533380,144,0,0,624,0,0,0,0,0,2704,,,
37,Self-emp-not-inc,111129,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,1369,4111773,370,0,0,1665,-535247247,1111290,0,0,5000805,100,0,0,450,0,0,0,0,0,2025,,,
43,Private,112607,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,1849,4842101,301,0,0,2580,-204565439,788249,0,0,6756420,49,0,0,420,0,0,0,0,0,3600,,,
40,Local-gov,42703,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,>50K,1600,1708120,400,0,0,1600,1823546209,427030,0,0,1708120,100,0,0,400,0,0,0,0,0,1600,,,
34,Private,420749,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,30,Germany,<=50K,1156,14305466,306,0,0,1020,936061865,3786741,0,0,12622470,81,0,0,270,0,0,0,0,0,900,,,
66,Self-emp-inc,197816,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,10605,0,40,United-States,>50K,4356,13055856,858,699930,0,2640,476464192,2571608,2097838680,0,7912640,169,137865,0,520,112466025,0,424200,0,0,1600,,,
61,?,113544,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,55,United-States,<=50K,3721,6926184,793,0,0,3355,7338048,1476072,0,0,6244920,169,0,0,715,0,0,0,0,0,3025,,,
29,Private,186624,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,40,Cuba,<=50K,841,5412096,261,0,0,1160,468779008,1679616,0,0,7464960,81,0,0,360,0,0,0,0,0,1600,,,
31,Private,144064,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,48,United-States,>50K,961,4465984,279,0,0,1488,-720400384,1296576,0,0,6915072,81,0,0,432,0,0,0,0,0,2304,,,
60,Self-emp-not-inc,38622,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K,3600,2317320,600,0,0,2400,1491658884,386220,0,0,1544880,100,0,0,400,0,0,0,0,0,1600,,,
30,Private,229051,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,37,United-States,<=50K,900,6871530,150,0,0,1110,924753049,1145255,0,0,8474887,25,0,0,185,0,0,0,0,0,1369,,,
39,Private,348521,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,99,United-States,>50K,1521,13592319,390,0,94185,3861,1207803153,3485210,0,841678215,34503579,100,0,24150,990,0,0,0,5832225,239085,9801,,,
32,Private,288229,Some-college,10,Married-civ-spouse,Sales,Other-relative,Asian-Pac-Islander,Female,0,0,40,Greece,<=50K,1024,9223328,320,0,0,1280,1471577817,2882290,0,0,11529160,100,0,0,400,0,0,0,0,0,1600,,,
38,Private,472604,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,35,Mexico,<=50K,1444,17958952,494,0,0,1330,16241424,6143852,0,0,16541140,169,0,0,455,0,0,0,0,0,1225,,,
48,Private,98524,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,2304,4729152,576,0,0,2160,1117043984,1182288,0,0,4433580,144,0,0,540,0,0,0,0,0,2025,,,
48,Private,330470,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,30,United-States,<=50K,2304,15862560,480,0,0,1440,1836238500,3304700,0,0,9914100,100,0,0,300,0,0,0,0,0,900,,,
31,Private,473133,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,5178,0,40,United-States,>50K,961,14667123,434,160518,0,1240,516536297,6623862,-1845084622,0,18925320,196,72492,0,560,26811684,0,207120,0,0,1600,,,
27,Private,165365,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,2885,0,40,Laos,<=50K,729,4464855,243,77895,0,1080,1575779449,1488285,477078025,0,6614600,81,25965,0,360,8323225,0,115400,0,0,1600,,,
35,Private,218955,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,1225,7663425,455,0,0,1400,696651769,2846415,0,0,8758200,169,0,0,520,0,0,0,0,0,1600,,,
